model,task,segment_interval,number_of_users,accuracy,confidence,user_accuracies,user_confidences,feature_frequency,epochs
LinearDiscriminantAnalysis,1,1,3,0.6257196337768206,0.5818071743911455,"{7: 1.0, 8: 0.8558014755197855, 10: 0.8641257536606374, 11: 0.9758001561280251, 13: 0.1306122448979592, 14: 0.6466305768153817, 16: 0.9130584192439862, 17: 0.9641170915958451, 18: 0.4953168044077135, 20: 0.2857142857142857, 21: 0.34897172236503854, 22: 0.6149425287356322, 23: 0.6739776951672862, 24: 0.7396392003900536, 25: 0.5772042028323435, 26: 0.21012101210121012, 27: 0.18594771241830066}","{7: 0.9798980537824337, 8: 0.8821082882809099, 10: 0.7359339001889248, 11: 0.7433788421798803, 13: 0.19902744763099683, 14: 0.5881282107197818, 16: 0.8513264304166446, 17: 0.9128700488657073, 18: 0.44387065881284543, 20: 0.39203991729318327, 21: 0.3069367599526614, 22: 0.550751994881935, 23: 0.6055497866122713, 24: 0.6676533440799738, 25: 0.5329397892108871, 26: 0.24586244295191395, 27: 0.196536667327877}","{'fb_me': 0.8571428571428571, 'fc_me': 0.7142857142857143, 'a_me': 0.08163265306122448, 'gz_me': 0.673469387755102, 'fa_me': 0.7142857142857143, 'm_max': 0.6530612244897959, 'm_min': 0.6530612244897959, 'm_me': 0.6938775510204082, 'nr_me': 0.30612244897959184, 'ax_me': 0.6938775510204082, 'g_me': 0.04081632653061224, 'gx_me': 0.30612244897959184, 'ay_me': 0.5510204081632653, 'fd_me': 0.9387755102040817, 'fd_bin_3': 0.16326530612244897, 'fd_bin_max': 0.08163265306122448, 'fd_bin_7': 0.10204081632653061, 'fd_bin_2': 0.10204081632653061, 'fd_mcr': 0.20408163265306123, 'fd_sd': 0.2653061224489796, 'fa_sd': 0.04081632653061224, 'fa_bin_mean': 0.08163265306122448, 'cb_min': 0.02040816326530612, 'fa_bin_max': 0.02040816326530612, 'fa_bin_2': 0.02040816326530612, 'fa_bin_6': 0.04081632653061224, 'fa_bin_4': 0.02040816326530612, 'fa_bin_min': 0.02040816326530612, 'fa_bin_9': 0.02040816326530612, 'fd_bin_6': 0.04081632653061224, 'fd_bin_4': 0.061224489795918366, 'gz_sd': 0.02040816326530612, 'fd_bin_std': 0.04081632653061224, 'fd_bin_1': 0.22448979591836735, 'fd_bin_0': 0.14285714285714285, 'ns_me': 0.10204081632653061, 'fd_bin_5': 0.12244897959183673, 'fd_bin_mean': 0.10204081632653061, 'fd_bin_9': 0.02040816326530612, 'gy_me': 0.02040816326530612, 'fd_bin_min': 0.02040816326530612}",49
RandomForest,1,1,3,0.8122722914816771,0.7445258015895821,"{7: 0.9864353312302839, 8: 0.971160295103957, 10: 0.8751076658053404, 11: 0.9879000780640125, 13: 0.19825072886297376, 14: 0.7649803994773193, 16: 0.9893470790378007, 17: 0.9778092540132199, 18: 0.7369146005509642, 20: 0.43780554046713743, 21: 0.6796272493573265, 22: 0.6551724137931034, 23: 0.9182156133828997, 24: 0.7927840078010726, 25: 0.9447236180904522, 26: 0.874037403740374, 27: 0.6928104575163397}","{7: 0.9582439537329126, 8: 0.8959758551307847, 10: 0.8009905254091301, 11: 0.937392661982826, 13: 0.28128279883381924, 14: 0.6191711778980772, 16: 0.9494158075601374, 17: 0.9038432483474975, 18: 0.6512396694214877, 20: 0.4228680065181966, 21: 0.6033740359897172, 22: 0.5960408684546615, 23: 0.8323158966188707, 24: 0.7339834227206241, 25: 0.8358611238008223, 26: 0.7666391639163916, 27: 0.6649019607843137}","{'fb_me': 0.8571428571428571, 'fc_me': 0.7142857142857143, 'a_me': 0.08163265306122448, 'gz_me': 0.673469387755102, 'fa_me': 0.7142857142857143, 'm_max': 0.6530612244897959, 'm_min': 0.6530612244897959, 'm_me': 0.6938775510204082, 'nr_me': 0.30612244897959184, 'ax_me': 0.6938775510204082, 'g_me': 0.04081632653061224, 'gx_me': 0.30612244897959184, 'ay_me': 0.5510204081632653, 'fd_me': 0.9387755102040817, 'fd_bin_3': 0.16326530612244897, 'fd_bin_max': 0.08163265306122448, 'fd_bin_7': 0.10204081632653061, 'fd_bin_2': 0.10204081632653061, 'fd_mcr': 0.20408163265306123, 'fd_sd': 0.2653061224489796, 'fa_sd': 0.04081632653061224, 'fa_bin_mean': 0.08163265306122448, 'cb_min': 0.02040816326530612, 'fa_bin_max': 0.02040816326530612, 'fa_bin_2': 0.02040816326530612, 'fa_bin_6': 0.04081632653061224, 'fa_bin_4': 0.02040816326530612, 'fa_bin_min': 0.02040816326530612, 'fa_bin_9': 0.02040816326530612, 'fd_bin_6': 0.04081632653061224, 'fd_bin_4': 0.061224489795918366, 'gz_sd': 0.02040816326530612, 'fd_bin_std': 0.04081632653061224, 'fd_bin_1': 0.22448979591836735, 'fd_bin_0': 0.14285714285714285, 'ns_me': 0.10204081632653061, 'fd_bin_5': 0.12244897959183673, 'fd_bin_mean': 0.10204081632653061, 'fd_bin_9': 0.02040816326530612, 'gy_me': 0.02040816326530612, 'fd_bin_min': 0.02040816326530612}",49
AdaBoost,1,1,3,0.6982749879771085,0.5577001159807262,"{7: 0.9056782334384857, 8: 0.9859154929577466, 10: 0.7670111972437552, 11: 0.9660421545667447, 13: 0.3830903790087463, 14: 0.6010826955385477, 16: 0.9161512027491409, 17: 0.8522190745986781, 18: 0.7223140495867769, 20: 0.1754481260184682, 21: 0.675771208226221, 22: 0.6877394636015327, 23: 0.8970260223048327, 24: 0.6231106777181862, 25: 0.7254454088624943, 26: 0.5827832783278327, 27: 0.33366013071895423}","{7: 0.5677328554556477, 8: 0.6390923868479357, 10: 0.5516897702940076, 11: 0.731215268623774, 13: 0.43792576047759235, 14: 0.4439158751739962, 16: 0.6340766768280809, 17: 0.6308967567178855, 18: 0.6568726154689971, 20: 0.32075598571452607, 21: 0.4973876453661439, 22: 0.4971704614375492, 23: 0.6567069955829326, 24: 0.5538785488186779, 25: 0.5857082464104534, 26: 0.5781261600493088, 27: 0.4027981648370235}","{'fb_me': 0.8571428571428571, 'fc_me': 0.7142857142857143, 'a_me': 0.08163265306122448, 'gz_me': 0.673469387755102, 'fa_me': 0.7142857142857143, 'm_max': 0.6530612244897959, 'm_min': 0.6530612244897959, 'm_me': 0.6938775510204082, 'nr_me': 0.30612244897959184, 'ax_me': 0.6938775510204082, 'g_me': 0.04081632653061224, 'gx_me': 0.30612244897959184, 'ay_me': 0.5510204081632653, 'fd_me': 0.9387755102040817, 'fd_bin_3': 0.16326530612244897, 'fd_bin_max': 0.08163265306122448, 'fd_bin_7': 0.10204081632653061, 'fd_bin_2': 0.10204081632653061, 'fd_mcr': 0.20408163265306123, 'fd_sd': 0.2653061224489796, 'fa_sd': 0.04081632653061224, 'fa_bin_mean': 0.08163265306122448, 'cb_min': 0.02040816326530612, 'fa_bin_max': 0.02040816326530612, 'fa_bin_2': 0.02040816326530612, 'fa_bin_6': 0.04081632653061224, 'fa_bin_4': 0.02040816326530612, 'fa_bin_min': 0.02040816326530612, 'fa_bin_9': 0.02040816326530612, 'fd_bin_6': 0.04081632653061224, 'fd_bin_4': 0.061224489795918366, 'gz_sd': 0.02040816326530612, 'fd_bin_std': 0.04081632653061224, 'fd_bin_1': 0.22448979591836735, 'fd_bin_0': 0.14285714285714285, 'ns_me': 0.10204081632653061, 'fd_bin_5': 0.12244897959183673, 'fd_bin_mean': 0.10204081632653061, 'fd_bin_9': 0.02040816326530612, 'gy_me': 0.02040816326530612, 'fd_bin_min': 0.02040816326530612}",49
GradientBoosting,1,1,3,0.815710432081173,0.806847982468398,"{7: 0.9637223974763408, 8: 0.8598256203890007, 10: 0.9024547803617572, 11: 0.9945355191256832, 13: 0.18367346938775508, 14: 0.7192458465559081, 16: 0.9876288659793815, 17: 0.9943342776203966, 18: 0.6853994490358126, 20: 0.41118957088538843, 21: 0.5890102827763496, 22: 0.7330779054916987, 23: 0.9245353159851302, 24: 0.8785958069234521, 25: 0.9045226130653266, 26: 0.8910891089108911, 27: 0.9369281045751635}","{7: 0.969187993089039, 8: 0.8641153411646366, 10: 0.8900951138535237, 11: 0.9902889426919954, 13: 0.22583108273392985, 14: 0.7065508450992486, 16: 0.9851865421027792, 17: 0.9889085443482535, 18: 0.6819965889610263, 20: 0.4218170302127668, 21: 0.5946675051063242, 22: 0.7256860932811162, 23: 0.909625349598316, 24: 0.8722541111936563, 25: 0.8972477566250352, 26: 0.885179043854618, 27: 0.9227601252120587}","{'fb_me': 0.8571428571428571, 'fc_me': 0.7142857142857143, 'a_me': 0.08163265306122448, 'gz_me': 0.673469387755102, 'fa_me': 0.7142857142857143, 'm_max': 0.6530612244897959, 'm_min': 0.6530612244897959, 'm_me': 0.6938775510204082, 'nr_me': 0.30612244897959184, 'ax_me': 0.6938775510204082, 'g_me': 0.04081632653061224, 'gx_me': 0.30612244897959184, 'ay_me': 0.5510204081632653, 'fd_me': 0.9387755102040817, 'fd_bin_3': 0.16326530612244897, 'fd_bin_max': 0.08163265306122448, 'fd_bin_7': 0.10204081632653061, 'fd_bin_2': 0.10204081632653061, 'fd_mcr': 0.20408163265306123, 'fd_sd': 0.2653061224489796, 'fa_sd': 0.04081632653061224, 'fa_bin_mean': 0.08163265306122448, 'cb_min': 0.02040816326530612, 'fa_bin_max': 0.02040816326530612, 'fa_bin_2': 0.02040816326530612, 'fa_bin_6': 0.04081632653061224, 'fa_bin_4': 0.02040816326530612, 'fa_bin_min': 0.02040816326530612, 'fa_bin_9': 0.02040816326530612, 'fd_bin_6': 0.04081632653061224, 'fd_bin_4': 0.061224489795918366, 'gz_sd': 0.02040816326530612, 'fd_bin_std': 0.04081632653061224, 'fd_bin_1': 0.22448979591836735, 'fd_bin_0': 0.14285714285714285, 'ns_me': 0.10204081632653061, 'fd_bin_5': 0.12244897959183673, 'fd_bin_mean': 0.10204081632653061, 'fd_bin_9': 0.02040816326530612, 'gy_me': 0.02040816326530612, 'fd_bin_min': 0.02040816326530612}",49
LinearDiscriminantAnalysis,2,1,3,0.7131869464240981,0.6999317017527537,"{7: 0.9982185273159145, 8: 0.4986017897091723, 9: 0.5560821484992101, 10: 0.005714285714285714, 11: 0.9864583333333333, 13: 0.3307192240222887, 14: 0.9987218813905931, 15: 0.908692365835223, 16: 1.0, 17: 0.8293103448275863, 18: 0.8749363478969345, 19: 0.9934607645875252, 20: 0.06403940886699507, 21: 0.24380952380952378, 22: 0.8206896551724139, 23: 0.9158878504672897, 24: 0.8506375227686703, 25: 0.9539748953974895, 26: 0.9041284403669725, 27: 0.7182481751824817}","{7: 0.9978772858456342, 8: 0.4851814150010853, 9: 0.556848480754781, 10: 0.011335309001856104, 11: 0.9748067422341332, 13: 0.33873071154562606, 14: 0.998533806578749, 15: 0.8886685850209728, 16: 1.0, 17: 0.8311373279258617, 18: 0.876041810902956, 19: 0.9853661365897316, 20: 0.14591608500395895, 21: 0.26667294995076024, 22: 0.7660636739229375, 23: 0.8825105268788908, 24: 0.8196650646157663, 25: 0.9070171037036634, 26: 0.9018447210589041, 27: 0.6882170669448205}","{'gx_me': 0.19047619047619047, 'ay_me': 0.7142857142857143, 'nr_me': 0.7142857142857143, 'fd_me': 0.8095238095238095, 'fc_me': 0.6190476190476191, 'm_min': 0.8095238095238095, 'm_me': 0.8095238095238095, 'm_max': 0.8095238095238095, 'ax_me': 0.9285714285714286, 'fb_me': 0.5, 'a_me': 0.40476190476190477, 'ns_me': 0.16666666666666666, 'gz_me': 0.7857142857142857, 'fa_me': 0.7619047619047619, 'fd_mcr': 0.023809523809523808, 'fd_bin_4': 0.047619047619047616, 'fd_bin_5': 0.023809523809523808, 'fa_bin_max': 0.047619047619047616, 'fa_bin_std': 0.07142857142857142, 'fa_bin_mean': 0.047619047619047616, 'fa_bin_4': 0.09523809523809523, 'fa_bin_5': 0.09523809523809523, 'fa_bin_7': 0.023809523809523808, 'fa_mcr': 0.047619047619047616, 'fa_bin_1': 0.09523809523809523, 'fd_bin_1': 0.023809523809523808, 'fd_bin_0': 0.023809523809523808, 'fd_sd': 0.047619047619047616, 'fd_bin_6': 0.023809523809523808, 'fa_sd': 0.09523809523809523, 'cb_me': 0.023809523809523808, 'fd_bin_mean': 0.023809523809523808, 'fd_bin_3': 0.023809523809523808, 'ax_mcr': 0.023809523809523808, 'fa_bin_2': 0.023809523809523808, 'fa_bin_3': 0.023809523809523808}",42
RandomForest,2,1,3,0.7793625708124129,0.7248218682409595,"{7: 0.998812351543943, 8: 0.6812080536912751, 9: 0.6477093206951027, 10: 0.17523809523809525, 11: 0.996875, 13: 0.4682695284284387, 14: 0.9969325153374233, 15: 0.9319727891156464, 16: 1.0, 17: 0.8974137931034483, 18: 0.9018229962317955, 19: 0.9718309859154929, 20: 0.8620689655172414, 21: 0.41571428571428565, 22: 0.9028735632183909, 23: 0.9262720664589822, 24: 0.4685792349726776, 25: 0.9456066945606695, 26: 0.9470183486238533, 27: 0.970316301703163}","{7: 0.9913301662707837, 8: 0.5496364653243848, 9: 0.5954976303317535, 10: 0.20704761904761904, 11: 0.9630208333333334, 13: 0.4459292126715509, 14: 0.8792433537832312, 15: 0.8967951625094484, 16: 0.9878116343490304, 17: 0.835, 18: 0.8880537732966698, 19: 0.9313631790744468, 20: 0.6842364532019705, 21: 0.3763492063492064, 22: 0.715919540229885, 23: 0.8236413984077535, 24: 0.5006830601092896, 25: 0.896652719665272, 26: 0.927454128440367, 27: 0.9204379562043796}","{'gx_me': 0.19047619047619047, 'ay_me': 0.7142857142857143, 'nr_me': 0.7142857142857143, 'fd_me': 0.8095238095238095, 'fc_me': 0.6190476190476191, 'm_min': 0.8095238095238095, 'm_me': 0.8095238095238095, 'm_max': 0.8095238095238095, 'ax_me': 0.9285714285714286, 'fb_me': 0.5, 'a_me': 0.40476190476190477, 'ns_me': 0.16666666666666666, 'gz_me': 0.7857142857142857, 'fa_me': 0.7619047619047619, 'fd_mcr': 0.023809523809523808, 'fd_bin_4': 0.047619047619047616, 'fd_bin_5': 0.023809523809523808, 'fa_bin_max': 0.047619047619047616, 'fa_bin_std': 0.07142857142857142, 'fa_bin_mean': 0.047619047619047616, 'fa_bin_4': 0.09523809523809523, 'fa_bin_5': 0.09523809523809523, 'fa_bin_7': 0.023809523809523808, 'fa_mcr': 0.047619047619047616, 'fa_bin_1': 0.09523809523809523, 'fd_bin_1': 0.023809523809523808, 'fd_bin_0': 0.023809523809523808, 'fd_sd': 0.047619047619047616, 'fd_bin_6': 0.023809523809523808, 'fa_sd': 0.09523809523809523, 'cb_me': 0.023809523809523808, 'fd_bin_mean': 0.023809523809523808, 'fd_bin_3': 0.023809523809523808, 'ax_mcr': 0.023809523809523808, 'fa_bin_2': 0.023809523809523808, 'fa_bin_3': 0.023809523809523808}",42
AdaBoost,2,1,3,0.7139199456257634,0.6383354469269735,"{7: 0.996437054631829, 8: 0.6174496644295302, 9: 0.5466034755134281, 10: 0.008888888888888889, 11: 0.9932291666666667, 13: 0.55071716025178, 14: 0.8067484662576687, 15: 0.8350718065003779, 16: 1.0, 17: 0.9646551724137932, 18: 0.8785008656686019, 19: 0.9625251509054327, 20: 0.8407224958949097, 21: 0.4280952380952381, 22: 0.3155172413793103, 23: 0.6812045690550363, 24: 0.41256830601092903, 25: 0.7682008368200837, 26: 0.8961009174311927, 27: 0.9216545012165451}","{7: 0.8600960783356405, 8: 0.6082182964979715, 9: 0.5163886514242962, 10: 0.13507977355199674, 11: 0.6792849773605574, 13: 0.5209804614183425, 14: 0.6417023947987395, 15: 0.7965160190391373, 16: 0.9999939585151641, 17: 0.8934897672875969, 18: 0.8793119869308381, 19: 0.8414746437360625, 20: 0.5129187902399622, 21: 0.5386266163381682, 22: 0.5246978709821478, 23: 0.5923707668590574, 24: 0.4870376874620032, 25: 0.7110296293706289, 26: 0.7342760984985418, 27: 0.7145789422560128}","{'gx_me': 0.19047619047619047, 'ay_me': 0.7142857142857143, 'nr_me': 0.7142857142857143, 'fd_me': 0.8095238095238095, 'fc_me': 0.6190476190476191, 'm_min': 0.8095238095238095, 'm_me': 0.8095238095238095, 'm_max': 0.8095238095238095, 'ax_me': 0.9285714285714286, 'fb_me': 0.5, 'a_me': 0.40476190476190477, 'ns_me': 0.16666666666666666, 'gz_me': 0.7857142857142857, 'fa_me': 0.7619047619047619, 'fd_mcr': 0.023809523809523808, 'fd_bin_4': 0.047619047619047616, 'fd_bin_5': 0.023809523809523808, 'fa_bin_max': 0.047619047619047616, 'fa_bin_std': 0.07142857142857142, 'fa_bin_mean': 0.047619047619047616, 'fa_bin_4': 0.09523809523809523, 'fa_bin_5': 0.09523809523809523, 'fa_bin_7': 0.023809523809523808, 'fa_mcr': 0.047619047619047616, 'fa_bin_1': 0.09523809523809523, 'fd_bin_1': 0.023809523809523808, 'fd_bin_0': 0.023809523809523808, 'fd_sd': 0.047619047619047616, 'fd_bin_6': 0.023809523809523808, 'fa_sd': 0.09523809523809523, 'cb_me': 0.023809523809523808, 'fd_bin_mean': 0.023809523809523808, 'fd_bin_3': 0.023809523809523808, 'ax_mcr': 0.023809523809523808, 'fa_bin_2': 0.023809523809523808, 'fa_bin_3': 0.023809523809523808}",42
GradientBoosting,2,1,3,0.7668127889012213,0.7739106367555121,"{7: 0.9994061757719714, 8: 0.5027964205816554, 9: 0.6058451816745656, 10: 0.5403174603174603, 11: 0.9947916666666666, 13: 0.2580745021153648, 14: 0.9695807770961145, 15: 0.946485260770975, 16: 1.0, 17: 0.9103448275862069, 18: 0.8799266727772685, 19: 0.9688128772635815, 20: 0.8866995073891625, 21: 0.44142857142857145, 22: 0.8971264367816092, 23: 0.9799238490827276, 24: 0.581056466302368, 25: 0.9489539748953975, 26: 0.95, 27: 0.9927007299270073}","{7: 0.9937297937263614, 8: 0.5451169191762256, 9: 0.6037624529639111, 10: 0.4940463460058761, 11: 0.9921327428239692, 13: 0.2493581056330071, 14: 0.9707101224494789, 15: 0.9456743164578862, 16: 0.9996002116188198, 17: 0.9026817837695691, 18: 0.8764389585915915, 19: 0.963943924775998, 20: 0.860217713531148, 21: 0.4334656681569398, 22: 0.8794975846475184, 23: 0.9708796488933584, 24: 0.5685274094109491, 25: 0.9246843670573524, 26: 0.9473721303135935, 27: 0.9923622677588455}","{'gx_me': 0.19047619047619047, 'ay_me': 0.7142857142857143, 'nr_me': 0.7142857142857143, 'fd_me': 0.8095238095238095, 'fc_me': 0.6190476190476191, 'm_min': 0.8095238095238095, 'm_me': 0.8095238095238095, 'm_max': 0.8095238095238095, 'ax_me': 0.9285714285714286, 'fb_me': 0.5, 'a_me': 0.40476190476190477, 'ns_me': 0.16666666666666666, 'gz_me': 0.7857142857142857, 'fa_me': 0.7619047619047619, 'fd_mcr': 0.023809523809523808, 'fd_bin_4': 0.047619047619047616, 'fd_bin_5': 0.023809523809523808, 'fa_bin_max': 0.047619047619047616, 'fa_bin_std': 0.07142857142857142, 'fa_bin_mean': 0.047619047619047616, 'fa_bin_4': 0.09523809523809523, 'fa_bin_5': 0.09523809523809523, 'fa_bin_7': 0.023809523809523808, 'fa_mcr': 0.047619047619047616, 'fa_bin_1': 0.09523809523809523, 'fd_bin_1': 0.023809523809523808, 'fd_bin_0': 0.023809523809523808, 'fd_sd': 0.047619047619047616, 'fd_bin_6': 0.023809523809523808, 'fa_sd': 0.09523809523809523, 'cb_me': 0.023809523809523808, 'fd_bin_mean': 0.023809523809523808, 'fd_bin_3': 0.023809523809523808, 'ax_mcr': 0.023809523809523808, 'fa_bin_2': 0.023809523809523808, 'fa_bin_3': 0.023809523809523808}",42
LinearDiscriminantAnalysis,3,1,3,0.7502284265481467,0.7618257995506794,"{7: 1.0, 8: 0.4766081871345029, 9: 0.78984375, 10: 0.26492627507855937, 11: 0.9847856154910097, 13: 0.601644245142003, 15: 1.0, 16: 1.0, 17: 0.8290353390639924, 18: 0.5718076285240464, 19: 0.9368448637316562, 21: 0.7002178649237474, 22: 0.6153136531365314, 23: 0.23204022988505746, 24: 0.5439068100358423, 25: 0.8442982456140351, 26: 0.9848484848484849, 27: 0.985632183908046}","{7: 0.9994634834791597, 8: 0.5355747493084567, 9: 0.7448333736026, 10: 0.263412477097077, 11: 0.9852603036937703, 13: 0.5927748937340683, 15: 0.9999803823601611, 16: 0.9994269888787614, 17: 0.829502511442327, 18: 0.5775267631325094, 19: 0.9345601926635972, 21: 0.7015634556879378, 22: 0.6121230654749492, 23: 0.26187333933824675, 24: 0.5064954530408766, 25: 0.8337996966734136, 26: 0.9842132432458738, 27: 0.9783523478980921}","{'fd_bin_std': 0.05555555555555555, 'fd_bin_0': 0.05555555555555555, 'fd_bin_max': 0.05555555555555555, 'fd_mcr': 0.05555555555555555, 'fd_sd': 0.1388888888888889, 'a_me': 0.6111111111111112, 'gz_me': 0.5833333333333334, 'ax_me': 0.9722222222222222, 'ay_me': 0.8055555555555556, 'fd_me': 0.8888888888888888, 'ax_mcr': 0.19444444444444445, 'nr_me': 0.16666666666666666, 'gx_me': 0.5555555555555556, 'fa_me': 0.7777777777777778, 'fb_me': 0.7222222222222222, 'fc_me': 0.8333333333333334, 'm_max': 0.2777777777777778, 'm_me': 0.3055555555555556, 'm_min': 0.3055555555555556, 'ax_sd': 0.027777777777777776, 'gx_sd': 0.08333333333333333, 'fa_mcr': 0.1111111111111111, 'fa_bin_1': 0.08333333333333333, 'fa_bin_2': 0.1111111111111111, 'fa_sd': 0.2777777777777778, 'fa_bin_7': 0.05555555555555555, 'fa_bin_mean': 0.08333333333333333, 'fa_bin_3': 0.027777777777777776, 'g_me': 0.16666666666666666, 'fa_bin_max': 0.08333333333333333, 'fa_bin_6': 0.05555555555555555, 'fa_bin_std': 0.08333333333333333, 'fd_bin_mean': 0.05555555555555555, 'ay_mcr': 0.1111111111111111, 'gz_sd': 0.027777777777777776, 'gy_me': 0.05555555555555555, 'fa_bin_4': 0.027777777777777776, 'fa_bin_8': 0.05555555555555555, 'fa_bin_0': 0.027777777777777776, 'az_me': 0.027777777777777776}",36
RandomForest,3,1,3,0.7735088303851403,0.757143020513493,"{7: 0.9951298701298701, 8: 0.9970760233918129, 9: 0.99609375, 10: 0.06598984771573603, 11: 0.9944674965421854, 13: 0.5549327354260091, 15: 0.9990366088631986, 16: 0.9974823766364551, 17: 0.8401782871696911, 18: 0.6371475953565506, 19: 0.9426100628930817, 21: 0.6461873638344227, 22: 0.7195571955719557, 23: 0.47844827586206895, 24: 0.6030465949820788, 25: 0.9895833333333334, 26: 0.9848484848484848, 27: 0.9983579638752051}","{7: 0.9824675324675326, 8: 0.9657894736842105, 9: 0.8793750000000001, 10: 0.09079042784626543, 11: 0.9348547717842325, 13: 0.5323991031390135, 15: 0.944669235709698, 16: 0.9533736153071501, 17: 0.8377586755810251, 18: 0.6592039800995024, 19: 0.8864779874213836, 21: 0.6029629629629629, 22: 0.6154059040590407, 23: 0.46206896551724136, 24: 0.5855734767025089, 25: 0.8933662280701755, 26: 0.9785353535353534, 27: 0.9801313628899837}","{'fd_bin_std': 0.05555555555555555, 'fd_bin_0': 0.05555555555555555, 'fd_bin_max': 0.05555555555555555, 'fd_mcr': 0.05555555555555555, 'fd_sd': 0.1388888888888889, 'a_me': 0.6111111111111112, 'gz_me': 0.5833333333333334, 'ax_me': 0.9722222222222222, 'ay_me': 0.8055555555555556, 'fd_me': 0.8888888888888888, 'ax_mcr': 0.19444444444444445, 'nr_me': 0.16666666666666666, 'gx_me': 0.5555555555555556, 'fa_me': 0.7777777777777778, 'fb_me': 0.7222222222222222, 'fc_me': 0.8333333333333334, 'm_max': 0.2777777777777778, 'm_me': 0.3055555555555556, 'm_min': 0.3055555555555556, 'ax_sd': 0.027777777777777776, 'gx_sd': 0.08333333333333333, 'fa_mcr': 0.1111111111111111, 'fa_bin_1': 0.08333333333333333, 'fa_bin_2': 0.1111111111111111, 'fa_sd': 0.2777777777777778, 'fa_bin_7': 0.05555555555555555, 'fa_bin_mean': 0.08333333333333333, 'fa_bin_3': 0.027777777777777776, 'g_me': 0.16666666666666666, 'fa_bin_max': 0.08333333333333333, 'fa_bin_6': 0.05555555555555555, 'fa_bin_std': 0.08333333333333333, 'fd_bin_mean': 0.05555555555555555, 'ay_mcr': 0.1111111111111111, 'gz_sd': 0.027777777777777776, 'gy_me': 0.05555555555555555, 'fa_bin_4': 0.027777777777777776, 'fa_bin_8': 0.05555555555555555, 'fa_bin_0': 0.027777777777777776, 'az_me': 0.027777777777777776}",36
AdaBoost,3,1,3,0.6944610391450787,0.6582418052703382,"{7: 0.7329545454545454, 8: 1.0, 9: 0.8, 10: 0.013778100072516317, 11: 0.9944674965421854, 13: 0.641255605381166, 15: 0.9919717405266538, 16: 0.9924471299093657, 17: 0.6934097421203439, 18: 0.5449419568822553, 19: 0.7859014675052411, 21: 0.6505446623093681, 22: 0.4418819188191882, 23: 0.3110632183908046, 24: 0.6200716845878136, 25: 0.8481359649122808, 26: 0.975378787878788, 27: 0.9495073891625615}","{7: 0.5501337202086616, 8: 0.8649575853209408, 9: 0.807892143647746, 10: 0.12991840339847324, 11: 0.8760415388256507, 13: 0.5461258882890078, 15: 0.8761593383370586, 16: 0.9727862428712298, 17: 0.6677024103761515, 18: 0.5525433703581903, 19: 0.7766901894445551, 21: 0.6165217082157246, 22: 0.48696858906832596, 23: 0.5259737564868232, 24: 0.5432631017506352, 25: 0.7279366387986371, 26: 0.7172299587312333, 27: 0.7188230046552871}","{'fd_bin_std': 0.05555555555555555, 'fd_bin_0': 0.05555555555555555, 'fd_bin_max': 0.05555555555555555, 'fd_mcr': 0.05555555555555555, 'fd_sd': 0.1388888888888889, 'a_me': 0.6111111111111112, 'gz_me': 0.5833333333333334, 'ax_me': 0.9722222222222222, 'ay_me': 0.8055555555555556, 'fd_me': 0.8888888888888888, 'ax_mcr': 0.19444444444444445, 'nr_me': 0.16666666666666666, 'gx_me': 0.5555555555555556, 'fa_me': 0.7777777777777778, 'fb_me': 0.7222222222222222, 'fc_me': 0.8333333333333334, 'm_max': 0.2777777777777778, 'm_me': 0.3055555555555556, 'm_min': 0.3055555555555556, 'ax_sd': 0.027777777777777776, 'gx_sd': 0.08333333333333333, 'fa_mcr': 0.1111111111111111, 'fa_bin_1': 0.08333333333333333, 'fa_bin_2': 0.1111111111111111, 'fa_sd': 0.2777777777777778, 'fa_bin_7': 0.05555555555555555, 'fa_bin_mean': 0.08333333333333333, 'fa_bin_3': 0.027777777777777776, 'g_me': 0.16666666666666666, 'fa_bin_max': 0.08333333333333333, 'fa_bin_6': 0.05555555555555555, 'fa_bin_std': 0.08333333333333333, 'fd_bin_mean': 0.05555555555555555, 'ay_mcr': 0.1111111111111111, 'gz_sd': 0.027777777777777776, 'gy_me': 0.05555555555555555, 'fa_bin_4': 0.027777777777777776, 'fa_bin_8': 0.05555555555555555, 'fa_bin_0': 0.027777777777777776, 'az_me': 0.027777777777777776}",36
