user,seance,ax_me,ax_sd,ax_mcr,ax_mai,ay_me,ay_sd,ay_mcr,ay_mai,az_me,az_sd,az_mcr,az_mai,a_me,a_sd,a_mcr,a_mai,gx_me,gx_sd,gx_mcr,gy_me,gy_sd,gy_mcr,gz_me,gz_sd,gz_mcr,g_me,g_sd,g_mcr,fa_me,fa_sd,fa_mcr,fb_me,fb_sd,fb_mcr,fc_me,fc_sd,fc_mcr,fd_me,fd_sd,fd_mcr,ca_me,ca_sd,ca_min,ca_max,ca_mcr,cb_me,cb_sd,cb_min,cb_max,cb_mcr,cc_me,cc_sd,cc_min,cc_max,cc_mcr,cd_me,cd_sd,cd_min,cd_max,cd_mcr,c_me,c_sd,c_min,c_max,c_mcr,m_me,m_sd,m_min,m_max,m_jc,m_jr,m_jv,m_iji,ns_me,ns_sd,ns_sum,ns_jc,ns_jr,ns_jv,ns_iji,nr_me,nr_sd,nr_sum,nr_jc,nr_jr,nr_jv,nr_iji
7,132,0.021277584204413467,0.004031619707068341,0.2591516560139453,0.0030912260313771056,-0.02661056297156123,0.004830600355974361,0.4552845528455284,0.004645760743321718,0.8773360417875798,0.0053692678841457285,0.4256678281068525,0.0051509872241579605,0.8780183198322751,0.00536990187152047,0.4259151656013945,0.005243409127120385,-0.5311375507835172,0.09563415247916804,0.5069686411149826,1.7902727800348233,0.11277271528374555,0.4994192799070848,-1.7217063261752756,0.09932793140732356,0.5162601626016261,2.5439890594292094,0.10632816312205652,0.5069686411149826,701.9459601259183,0.4496902822294124,0.2372703412073491,553.5029270888771,0.5705817601156534,0.4845580404685836,615.6180665610143,0.5164295539683975,0.4556025369978858,,,0.0,24.7625,13.254333017922852,13.5,56.8,0.5714285714285714,28.375,11.200083705044351,5.6,41.7,0.8571428571428571,32.05,7.534918712235719,17.6,41.9,0.7142857142857143,18.6,10.857831275167248,5.4,36.1,0.2857142857142857,56.950999840033866,4.884144471702517,51.98259324043001,69.05570215413061,0.5714285714285714,37.6,0.0,37.6,37.6,0,0.0,,,11038.333333333336,30.98386676965934,93.0,1,0.12,25.0,,13932.444444444443,27.77733332977772,84.0,1,0.12,20.0,
7,132,0.021427207637231504,0.004077568251679127,0.2745940783190067,0.003185291308500477,-0.02654415274463008,0.004854919797401282,0.438872970391595,0.004484240687679082,0.8773031026252984,0.005649361796085636,0.4398280802292264,0.005573065902578802,0.8779889346268561,0.005656316700959142,0.4398280802292264,0.005661246776561401,-0.5346968973747017,0.09548565107271062,0.5105062082139447,1.795980906921241,0.11693083698426596,0.4909264565425024,-1.7195560859188546,0.09743852393919186,0.4961795606494747,2.5473961420656543,0.106671524988795,0.5047755491881566,702.0192307692308,0.4290346570562247,0.18627022299956275,553.5852173913044,0.5711534444340215,0.4741191822531535,615.6531868131867,0.5141361668545272,0.4327176781002639,,,0.0,31.08888888888889,7.331430729619552,21.9,41.9,0.5,21.97777777777777,9.465701567915582,4.1,35.6,0.375,31.988888888888887,8.388543039228425,16.7,45.2,0.625,16.688888888888883,10.072343260901713,2.7,37.5,0.625,55.310581930042346,2.694144659991763,51.69545434561921,61.62223624634211,0.625,37.6,7.105427357601002e-15,37.6,37.6,0,0.0,,,11121.3,20.425719081589264,65.0,0,0.0,,,14011.3,19.91004771465905,63.0,0,0.0,,
7,132,0.021288981288981292,0.004289626708587378,0.27769110764430577,0.0034425377015080603,-0.026635465418616756,0.004950690883907346,0.4640998959417274,0.004859521331945889,0.8773686947477899,0.0076413902697215425,0.4542143600416233,0.007070759625390223,0.8780554665635442,0.007644032392704877,0.4542143600416233,0.007156733745601211,-0.5404992199687988,0.10320178687282563,0.4895941727367326,1.7935465418616745,0.13228464201486986,0.5041623309053069,-1.7214768590743632,0.09930074219266936,0.5130072840790842,2.548967948479776,0.114908882550271,0.490114464099896,701.2308494007295,1.83514609384696,0.3112617309697602,554.5958312150483,3.8639605407508513,0.05544252288911496,618.9205535622758,17.25416307488536,0.005641025641025642,,,0.0,22.88888888888889,6.1169063430689,15.1,35.9,0.875,26.555555555555557,6.492921121602975,17.8,37.5,0.625,29.4,10.24976964510802,16.2,50.0,0.375,21.5625,6.712849152930519,12.5,36.5,1.0,53.48661969493615,2.72424551192938,51.5508486836056,60.192192184701156,0.42857142857142855,37.6,0.0,37.6,37.6,0,0.0,,,11189.25,18.733325919334238,57.0,0,0.0,,,14076.625,18.25470829676552,55.0,0,0.0,,
7,132,0.021173594132029343,0.015828904483746322,0.3150684931506849,0.008375733855185908,-0.027047898338220928,0.008103958760194171,0.4488997555012225,0.006102689486552564,0.877859237536657,0.046079023140819714,0.3775061124694377,0.023276283618581917,0.8787374526297509,0.04565577976523657,0.3776908023483366,0.023238581833919626,-0.5263098729227761,0.4040017563455472,0.42640586797066016,1.7854007820136852,0.9450193617154008,0.4024449877750611,-1.7244477028347998,0.11186529635216907,0.4982885085574572,2.6555157705768297,0.6748383246795197,0.3061124694376528,698.6337837837838,6.9370160724396905,0.0423614240648941,561.242935278031,10.41761348348768,0.013679890560875513,648.0969807868253,41.20932350865277,0.0009153318077803203,,,0.0,39.255555555555546,9.34857221553836,25.7,54.4,0.625,36.47777777777778,15.132803058094089,16.2,72.0,0.625,35.23333333333333,17.56783677317412,5.4,68.0,0.875,33.34,11.571101935425165,20.5,54.7,0.4444444444444444,74.32786901877415,16.272167731544187,58.36951259004995,115.39029421922798,0.375,37.74,0.4431703961232069,37.4,39.0,1,0.11,0.3,,11342.3,89.96560453862354,339.0,1,0.11,58.0,,14241.9,108.1068452966786,402.0,1,0.11,59.0,
7,132,0.02053152683689421,0.0038509111572720884,0.18561001042752867,0.002784150156412929,-0.026988014590932783,0.004700000794717451,0.41084462982273207,0.004212721584984358,0.8773319437206879,0.006356589350089452,0.42909280500521374,0.006053180396246095,0.8780080337221493,0.006360382871894502,0.42909280500521374,0.006126673345001846,-0.5287858259510162,0.09367954806199408,0.5224191866527633,1.792772277227723,0.11703175298368758,0.5109489051094891,-1.7219801980198017,0.09682794797946452,0.5166840458811262,2.54541628828829,0.10754789562518,0.5104275286757038,691.6149789029537,1.5509855651112965,0.19155672823219,569.5821205821206,0.8086155579724441,0.22880915236609464,702.7415966386554,3.6589697505744634,0.040987913820283765,,,0.0,56.075,16.810023051739105,33.8,88.5,0.5714285714285714,46.7625,21.327091779002593,22.7,81.1,0.5714285714285714,52.6125,16.559848844418838,35.1,78.1,0.5714285714285714,51.5625,14.661935197988019,35.1,76.7,0.5714285714285714,104.25168952542673,33.408254684943195,68.62849262514806,162.45602481902603,0.5714285714285714,40.54,0.9245776062613666,39.1,41.9,2,0.29,1.0,2.0,12358.5,461.9483196202796,1279.0,0,0.0,,,15682.625,666.0825657341588,1868.0,0,0.0,,
7,132,0.020618878005342837,0.00380044049870891,0.1870824053452116,0.002699331848552338,-0.027101513802315225,0.0047945713055537326,0.4133630289532294,0.004374164810690423,0.8770467706013362,0.006751064886284533,0.4576648841354724,0.006359180035650629,0.8777290238401696,0.006753792657771271,0.4576648841354724,0.0064358610803686425,-0.5309665924276169,0.09377032666217253,0.5218360071301248,1.7953496659242765,0.12148459994284745,0.4946524064171123,-1.721924276169265,0.09905677013262944,0.5249554367201426,2.5478203172401224,0.1104735942332229,0.5294117647058824,692.3982808022922,0.8111666374427736,0.2025800286669852,569.6121870571562,0.9242969149182684,0.1776937618147448,701.1734159123394,2.794611009527605,0.19971401334604386,,,0.0,47.722222222222214,15.096120014963212,21.9,75.0,0.375,28.68888888888889,20.25199273840832,11.8,68.6,0.25,36.98888888888889,16.932903173305608,20.3,69.3,0.375,40.15555555555555,12.369057370992891,27.0,69.6,0.25,79.60088712676091,28.68032410651756,58.006809945040075,134.84657948943308,0.25,40.96,0.23748684174075824,40.6,41.4,0,0.0,,,13150.444444444443,194.7334994356881,455.0,1,0.12,261.0,,16809.11111111111,274.24338113939126,636.0,1,0.12,369.0,
7,132,0.020628415300546446,0.004033827075706863,0.20455580865603645,0.003038724373576309,-0.027003642987249544,0.004766113062357985,0.4209567198177677,0.004382687927107061,0.8771870732817477,0.006541632119584868,0.43214936247723135,0.006142987249544632,0.8778659795759944,0.006539180609460274,0.4323462414578588,0.006218138748644699,-0.5346335912608102,0.09904742026687273,0.5195810564663024,1.7967546654528903,0.12036388608166705,0.4972677595628415,-1.7241757741347905,0.10121126201578036,0.5134396355353075,2.551483068089825,0.10739675123695527,0.5148063781321185,692.8297553669496,0.8428568553123845,0.11288711288711288,569.75,0.9713392816107048,0.2056028014007004,700.6297405189621,4.240244613671173,0.11982026959560657,,,0.0,41.72222222222222,10.353290167089428,22.4,60.5,0.375,33.86666666666666,16.70096470932809,17.9,67.1,0.5,40.51111111111111,18.200820765647077,21.6,82.2,0.25,34.44444444444444,15.581692327936304,21.6,72.6,0.25,77.03327828553704,27.227021564057928,58.25572933197215,142.09243470361116,0.25,41.23,0.2722131517763246,40.9,41.6,0,0.0,,,13588.4,149.61096216521034,366.0,1,0.11,153.0,,17458.3,248.80878199934986,599.0,1,0.11,262.0,
7,132,0.020856118332586285,0.005325143709685525,0.23318385650224216,0.003587443946188341,-0.027099955177050647,0.005370066194637692,0.4206278026905829,0.00453811659192825,0.8774764679515913,0.01563954856802716,0.44170403587443946,0.008793721973094177,0.8781732445609198,0.01574420002804004,0.44170403587443946,0.008861827319750926,-0.5367996414164051,0.1144494537857524,0.5224215246636771,1.7964589870013448,0.1674707384240245,0.4713004484304933,-1.7229928315412188,0.10023182779662312,0.5235320484087853,2.5523779611580077,0.1431168453647895,0.4748878923766816,691.7404030710173,1.3810060002253846,0.12193951032165147,571.6692233940556,3.636119283371257,0.03309352517985612,702.9612068965519,8.691659854931173,0.08960229995208434,,,0.0,47.53333333333333,14.011661809602268,28.2,70.9,0.625,39.844444444444434,20.14663529178624,11.0,77.1,0.25,42.56666666666667,18.472742682726413,17.6,77.5,0.375,40.96666666666667,18.300516082583272,16.9,71.4,0.125,87.4353139130662,31.15472664034603,51.84525050571171,141.369232862034,0.125,41.09,0.5743487992586694,40.6,42.4,2,0.25,0.7,3.0,13909.111111111111,152.78412108043491,448.0,0,0.0,,,18028.88888888889,327.2703416797952,993.0,0,0.0,,
7,132,0.020720379146919432,0.01540765218415225,0.26932195353247984,0.007804646752015173,-0.0266350710900474,0.00622291304743157,0.4333807491702229,0.00546230440967283,0.8773270142180094,0.030307463615432195,0.3570412517780939,0.020075865339023242,0.8781301278827909,0.030390660549397788,0.3560929350403035,0.020194335342871118,-0.5413940256045519,0.25780274966679906,0.3861480075901329,1.8009293504030346,0.6206280100226391,0.3500948766603416,-1.3852062588904692,1.6191505413989051,0.017077798861480076,2.7296636414625657,1.0380157323098929,0.22770398481973436,702.3469596320898,7.4069742442641235,0.034764826175869123,576.2225077081192,33.546233333943285,0.005141388174807198,645.6919551934827,35.86267818789589,0.0015282730514518596,,,0.0,47.1875,20.582118300845515,14.9,81.8,0.14285714285714285,40.2875,24.79225874643132,8.1,82.2,0.14285714285714285,42.9125,19.633863444314773,21.6,78.7,0.14285714285714285,50.6875,19.82248959515429,27.0,80.0,0.2857142857142857,92.91080229807758,38.009608210655635,61.17009073068308,157.60003172588517,0.14285714285714285,43.68,0.3794082461991981,42.9,44.2,0,0.0,,,14910.111111111111,231.40942285839253,789.0,0,0.0,,,19905.0,382.162269199878,1314.0,0,0.0,,
7,132,0.02030788177339901,0.014892459171557218,0.24969199178644766,0.008936344969199178,-0.02660098522167488,0.00868761262665693,0.4570841889117043,0.006254620123203284,0.8786904761904761,0.054281856624088826,0.3942505133470226,0.02609445585215607,0.8795005113412738,0.05421813245636099,0.3942505133470226,0.026148880239064882,-0.5304718916700861,0.3919355070157016,0.4322660098522168,1.794002463054187,1.0744560001308805,0.34168377823408624,-1.7184318555008211,0.11303655062274537,0.5227926078028747,2.659320269399472,0.8376969554449741,0.3018480492813141,706.9274691358023,6.135338052511427,0.04014410705095214,593.7166324435317,38.8795036155372,0.00667693888032871,641.2642380708055,20.384967617545065,0.05646817248459959,,,0.0,35.2625,11.019407595238505,11.8,47.3,0.42857142857142855,23.925,8.693208556108612,9.9,36.5,0.14285714285714285,34.46250000000001,11.657501608406493,19.2,52.1,0.42857142857142855,27.875,11.67526766288465,13.3,50.7,0.7142857142857143,64.46029122700028,9.726682627201924,54.81933965308229,80.83452232802517,0.42857142857142855,43.13,0.18257418583505491,42.9,43.4,0,0.0,,,15119.666666666664,51.687092736538744,145.0,1,0.12,56.0,,20258.222222222223,90.25615125577964,240.0,0,0.0,,
7,132,0.019461420932009168,0.011541611095276584,0.26213221245701185,0.006748184944593045,-0.02656990068754775,0.006587186562144656,0.457776079480321,0.005739396255254107,0.8776776165011458,0.03535739122096314,0.42376767290790973,0.018628200229270163,0.8783904199426789,0.035492536042486575,0.42376767290790973,0.01871316717484036,-0.5311038961038961,0.33838520826868584,0.4761176920137562,1.8011951126384116,0.7900630854549789,0.36860198624904505,-1.716711229946524,0.11163481281540208,0.5357279327474207,2.621425217977649,0.5942139481375582,0.3324417271685136,711.0577290076336,4.738687553330548,0.04534606205250597,629.5224236641221,40.73018500402043,0.002863961813842482,659.3457142857143,21.256786159321674,0.0023820867079561697,,,0.0,30.877777777777773,7.612822192091122,14.7,41.1,1.0,25.95555555555556,9.810551135397386,14.9,44.6,0.5,32.611111111111114,9.517287714054818,20.3,47.2,0.375,26.04444444444444,11.7633244650114,9.5,44.7,0.25,60.73881115618538,7.929630606495643,53.02489981131506,78.7120067079985,0.5,42.23,0.2968164415931165,42.1,43.1,0,0.0,,,15261.111111111111,27.45681232790647,88.0,1,0.12,26.0,,20464.11111111111,33.37811806306789,104.0,1,0.12,43.0,
7,132,0.01975243147656941,0.008822379348965128,0.2344095532950022,0.005829279080053074,-0.026445623342175064,0.006007025494557016,0.4506855373728439,0.005258735072976558,0.8772502210433245,0.0310321727384201,0.40026536930561696,0.016545776205218934,0.877931829952407,0.031146368932967683,0.40026536930561696,0.01665078535968591,-0.5351768346595933,0.33370325137191503,0.4918177797434764,1.7787488947833774,0.6001267768260207,0.3896505970809376,-1.715103844454264,0.10514420078705522,0.5088417329796641,2.581269442233744,0.4599166334651893,0.3821318000884564,710.4360943499727,4.880261552468286,0.029088913282107574,601.5788313120178,35.44419832165822,0.00827357970215113,639.9126589275842,9.838951935317796,0.07798672566371681,,,0.0,28.3125,7.009892563370713,16.4,38.7,0.5714285714285714,22.3625,7.256365739817696,8.1,31.1,0.5714285714285714,34.2,6.289475335828894,25.7,47.3,0.2857142857142857,25.375,2.681767141270845,20.3,30.1,0.8571428571428571,56.99511024693557,3.9127877452859914,52.40877789073125,65.01292179251753,0.7142857142857143,41.92,0.11331154474650795,41.8,42.1,0,0.0,,,15339.875,16.120154310675808,51.0,0,0.0,,,20554.75,15.58645245076634,49.0,0,0.0,,
